,,,
,,,
lux2,0.01,1532,25
fpsol2i1,0.00,1464,25
q13,0.21,1540,16
miles1500,0.21,1556,73
q12,0.20,1564,16
myciel7,0.12,1592,9
q10,0.12,1576,13
q15,0.28,1660,19
R1789_875431_10,22.16,9492,587
R22_99_15,0.00,1576,7
fpsol2i3,0.00,1488,7
Gf12345_12111222_457_15,495.40,137876,523
lux1,0.55,1724,131
inithxi2,0.00,1484,131
fpsol2i2,0.00,1456,131
KD,3.97,2672,500
q11,0.14,1496,14
R1999999_10123123_1,1077.76,230628,7
KC,0.18,1652,100
lux3,0.02,1504,22
myciel5,0.02,1508,6
bxb15_22_10,0.13,1684,4
bxb777_999_12,840.37,210828,5
R22_99_15.txt,0.00,1528,7
q7,0.03,1536,9
q8_12,0.08,1600,13
zeroini1,0.00,1480,13
myciel4,0.00,1584,5
KM,14.35,5796,1000
lux4,67.30,17956,1500
inithxi1,0.00,1532,1500
huck,0.02,1496,11
anna,0.04,1576,11
david,0.04,1516,11
miles1000,0.15,1584,47
